,Task,mean return,std return,expert mean return,expert rollouts,expert std return,training epochs
0,Hopper-v2,190.20921293122856,1.294158447978516,3777.774246933718,20.0,3.7813457360285025,1.0
1,Hopper-v2,164.85157444265056,1.2453496832614053,3777.774246933718,20.0,3.7813457360285025,2.0
2,Hopper-v2,272.4991823314864,3.4230252874344465,3777.774246933718,20.0,3.7813457360285025,3.0
3,Hopper-v2,667.7953018549435,4.225686327004216,3777.774246933718,20.0,3.7813457360285025,5.0
4,Hopper-v2,1603.544325283348,401.4612503886843,3777.774246933718,20.0,3.7813457360285025,10.0
5,Hopper-v2,1121.727173913639,108.05444796722992,3777.774246933718,20.0,3.7813457360285025,20.0
6,Hopper-v2,1130.3687859166273,46.61457598241415,3777.774246933718,20.0,3.7813457360285025,30.0
7,Hopper-v2,1277.464673881775,202.35670603364136,3777.774246933718,20.0,3.7813457360285025,60.0
8,Ant-v2,952.1392498418054,157.3263438408003,4791.193291722725,20.0,156.04387420489155,1.0
9,Ant-v2,1626.5571830820334,181.0500824528962,4791.193291722725,20.0,156.04387420489155,2.0
10,Ant-v2,2402.2324505545816,798.0718769803049,4791.193291722725,20.0,156.04387420489155,3.0
11,Ant-v2,3941.9624484160195,962.1450873936276,4791.193291722725,20.0,156.04387420489155,5.0
12,Ant-v2,4442.969743863994,1006.9870366569268,4791.193291722725,20.0,156.04387420489155,10.0
13,Ant-v2,4774.831564098394,91.79629533992119,4791.193291722725,20.0,156.04387420489155,20.0
14,Ant-v2,4801.477685153428,76.42774026889224,4791.193291722725,20.0,156.04387420489155,30.0
15,Ant-v2,4635.262110394464,281.4327916924549,4791.193291722725,20.0,156.04387420489155,60.0
